ω,,,,,,,,,
67,1.18333725458257,=(B72-B70)/2,=G70+1,=D71-($A$2*D71-2*$A71*PI()-$C71*(D71-$A71)-$B71)/($A$2-$C71),=E71-($A$2*E71-2*$A71*PI()-$C71*(E71-$A71)-$B71)/($A$2-$C71),=F71-($A$2*F71-2*$A71*PI()-$C71*(F71-$A71)-$B71)/($A$2-$C71),=A71,=J71-H71,=G71
68,1.20076005020384,=(B73-B71)/2,=G71+1,=D72-($A$2*D72-2*$A72*PI()-$C72*(D72-$A72)-$B72)/($A$2-$C72),=E72-($A$2*E72-2*$A72*PI()-$C72*(E72-$A72)-$B72)/($A$2-$C72),=F72-($A$2*F72-2*$A72*PI()-$C72*(F72-$A72)-$B72)/($A$2-$C72),=A72,=J72-H72,=G72
69,1.21817345613061,=(B74-B72)/2,=G72+1,=D73-($A$2*D73-2*$A73*PI()-$C73*(D73-$A73)-$B73)/($A$2-$C73),=E73-($A$2*E73-2*$A73*PI()-$C73*(E73-$A73)-$B73)/($A$2-$C73),=F73-($A$2*F73-2*$A73*PI()-$C73*(F73-$A73)-$B73)/($A$2-$C73),=A73,=J73-H73,=G73
70,1.23557741802793,=(B75-B73)/2,=G73+1,=D74-($A$2*D74-2*$A74*PI()-$C74*(D74-$A74)-$B74)/($A$2-$C74),=E74-($A$2*E74-2*$A74*PI()-$C74*(E74-$A74)-$B74)/($A$2-$C74),=F74-($A$2*F74-2*$A74*PI()-$C74*(F74-$A74)-$B74)/($A$2-$C74),=A74,=J74-H74,=G74
71,1.25297188459507,=(B76-B74)/2,=G74+1,=D75-($A$2*D75-2*$A75*PI()-$C75*(D75-$A75)-$B75)/($A$2-$C75),=E75-($A$2*E75-2*$A75*PI()-$C75*(E75-$A75)-$B75)/($A$2-$C75),=F75-($A$2*F75-2*$A75*PI()-$C75*(F75-$A75)-$B75)/($A$2-$C75),=A75,=J75-H75,=G75
72,1.27035680756999,=(B77-B75)/2,=G75+1,=D76-($A$2*D76-2*$A76*PI()-$C76*(D76-$A76)-$B76)/($A$2-$C76),=E76-($A$2*E76-2*$A76*PI()-$C76*(E76-$A76)-$B76)/($A$2-$C76),=F76-($A$2*F76-2*$A76*PI()-$C76*(F76-$A76)-$B76)/($A$2-$C76),=A76,=J76-H76,=G76
73,1.28773214173275,=(B78-B76)/2,=G76+1,=D77-($A$2*D77-2*$A77*PI()-$C77*(D77-$A77)-$B77)/($A$2-$C77),=E77-($A$2*E77-2*$A77*PI()-$C77*(E77-$A77)-$B77)/($A$2-$C77),=F77-($A$2*F77-2*$A77*PI()-$C77*(F77-$A77)-$B77)/($A$2-$C77),=A77,=J77-H77,=G77
74,1.30509784490768,=(B79-B77)/2,=G77+1,=D78-($A$2*D78-2*$A78*PI()-$C78*(D78-$A78)-$B78)/($A$2-$C78),=E78-($A$2*E78-2*$A78*PI()-$C78*(E78-$A78)-$B78)/($A$2-$C78),=F78-($A$2*F78-2*$A78*PI()-$C78*(F78-$A78)-$B78)/($A$2-$C78),=A78,=J78-H78,=G78
75,1.32245387796454,=(B80-B78)/2,=G78+1,=D79-($A$2*D79-2*$A79*PI()-$C79*(D79-$A79)-$B79)/($A$2-$C79),=E79-($A$2*E79-2*$A79*PI()-$C79*(E79-$A79)-$B79)/($A$2-$C79),=F79-($A$2*F79-2*$A79*PI()-$C79*(F79-$A79)-$B79)/($A$2-$C79),=A79,=J79-H79,=G79
76,1.33980020481855,=(B81-B79)/2,=G79+1,=D80-($A$2*D80-2*$A80*PI()-$C80*(D80-$A80)-$B80)/($A$2-$C80),=E80-($A$2*E80-2*$A80*PI()-$C80*(E80-$A80)-$B80)/($A$2-$C80),=F80-($A$2*F80-2*$A80*PI()-$C80*(F80-$A80)-$B80)/($A$2-$C80),=A80,=J80-H80,=G80
77,1.35713679242926,=(B82-B80)/2,=G80+1,=D81-($A$2*D81-2*$A81*PI()-$C81*(D81-$A81)-$B81)/($A$2-$C81),=E81-($A$2*E81-2*$A81*PI()-$C81*(E81-$A81)-$B81)/($A$2-$C81),=F81-($A$2*F81-2*$A81*PI()-$C81*(F81-$A81)-$B81)/($A$2-$C81),=A81,=J81-H81,=G81
78,1.37446361079848,=(B83-B81)/2,=G81+1,=D82-($A$2*D82-2*$A82*PI()-$C82*(D82-$A82)-$B82)/($A$2-$C82),=E82-($A$2*E82-2*$A82*PI()-$C82*(E82-$A82)-$B82)/($A$2-$C82),=F82-($A$2*F82-2*$A82*PI()-$C82*(F82-$A82)-$B82)/($A$2-$C82),=A82,=J82-H82,=G82
79,1.39178063296707,=(B84-B82)/2,=G82+1,=D83-($A$2*D83-2*$A83*PI()-$C83*(D83-$A83)-$B83)/($A$2-$C83),=E83-($A$2*E83-2*$A83*PI()-$C83*(E83-$A83)-$B83)/($A$2-$C83),=F83-($A$2*F83-2*$A83*PI()-$C83*(F83-$A83)-$B83)/($A$2-$C83),=A83,=J83-H83,=G83
80,1.40908783501071,=(B85-B83)/2,=G83+1,=D84-($A$2*D84-2*$A84*PI()-$C84*(D84-$A84)-$B84)/($A$2-$C84),=E84-($A$2*E84-2*$A84*PI()-$C84*(E84-$A84)-$B84)/($A$2-$C84),=F84-($A$2*F84-2*$A84*PI()-$C84*(F84-$A84)-$B84)/($A$2-$C84),=A84,=J84-H84,=G84
81,1.42638519603469,=(B86-B84)/2,=G84+1,=D85-($A$2*D85-2*$A85*PI()-$C85*(D85-$A85)-$B85)/($A$2-$C85),=E85-($A$2*E85-2*$A85*PI()-$C85*(E85-$A85)-$B85)/($A$2-$C85),=F85-($A$2*F85-2*$A85*PI()-$C85*(F85-$A85)-$B85)/($A$2-$C85),=A85,=J85-H85,=G85
82,1.44367269816765,=(B87-B85)/2,=G85+1,=D86-($A$2*D86-2*$A86*PI()-$C86*(D86-$A86)-$B86)/($A$2-$C86),=E86-($A$2*E86-2*$A86*PI()-$C86*(E86-$A86)-$B86)/($A$2-$C86),=F86-($A$2*F86-2*$A86*PI()-$C86*(F86-$A86)-$B86)/($A$2-$C86),=A86,=J86-H86,=G86
83,1.46095032655435,=(B88-B86)/2,=G86+1,=D87-($A$2*D87-2*$A87*PI()-$C87*(D87-$A87)-$B87)/($A$2-$C87),=E87-($A$2*E87-2*$A87*PI()-$C87*(E87-$A87)-$B87)/($A$2-$C87),=F87-($A$2*F87-2*$A87*PI()-$C87*(F87-$A87)-$B87)/($A$2-$C87),=A87,=J87-H87,=G87
84,1.4782180693475,=(B89-B87)/2,=G87+1,=D88-($A$2*D88-2*$A88*PI()-$C88*(D88-$A88)-$B88)/($A$2-$C88),=E88-($A$2*E88-2*$A88*PI()-$C88*(E88-$A88)-$B88)/($A$2-$C88),=F88-($A$2*F88-2*$A88*PI()-$C88*(F88-$A88)-$B88)/($A$2-$C88),=A88,=J88-H88,=G88
85,1.49547591769863,=(B90-B88)/2,=G88+1,=D89-($A$2*D89-2*$A89*PI()-$C89*(D89-$A89)-$B89)/($A$2-$C89),=E89-($A$2*E89-2*$A89*PI()-$C89*(E89-$A89)-$B89)/($A$2-$C89),=F89-($A$2*F89-2*$A89*PI()-$C89*(F89-$A89)-$B89)/($A$2-$C89),=A89,=J89-H89,=G89
86,1.51272386574801,=(B91-B89)/2,=G89+1,=D90-($A$2*D90-2*$A90*PI()-$C90*(D90-$A90)-$B90)/($A$2-$C90),=E90-($A$2*E90-2*$A90*PI()-$C90*(E90-$A90)-$B90)/($A$2-$C90),=F90-($A$2*F90-2*$A90*PI()-$C90*(F90-$A90)-$B90)/($A$2-$C90),=A90,=J90-H90,=G90
87,1.5299619106137,=(B92-B90)/2,=G90+1,=D91-($A$2*D91-2*$A91*PI()-$C91*(D91-$A91)-$B91)/($A$2-$C91),=E91-($A$2*E91-2*$A91*PI()-$C91*(E91-$A91)-$B91)/($A$2-$C91),=F91-($A$2*F91-2*$A91*PI()-$C91*(F91-$A91)-$B91)/($A$2-$C91),=A91,=J91-H91,=G91
88,1.54719005237966,=(B93-B91)/2,=G91+1,=D92-($A$2*D92-2*$A92*PI()-$C92*(D92-$A92)-$B92)/($A$2-$C92),=E92-($A$2*E92-2*$A92*PI()-$C92*(E92-$A92)-$B92)/($A$2-$C92),=F92-($A$2*F92-2*$A92*PI()-$C92*(F92-$A92)-$B92)/($A$2-$C92),=A92,=J92-H92,=G92
89,1.56440829408303,=(B94-B92)/2,=G92+1,=D93-($A$2*D93-2*$A93*PI()-$C93*(D93-$A93)-$B93)/($A$2-$C93),=E93-($A$2*E93-2*$A93*PI()-$C93*(E93-$A93)-$B93)/($A$2-$C93),=F93-($A$2*F93-2*$A93*PI()-$C93*(F93-$A93)-$B93)/($A$2-$C93),=A93,=J93-H93,=G93
90,1.58161664170053,=(B95-B93)/2,=G93+1,=D94-($A$2*D94-2*$A94*PI()-$C94*(D94-$A94)-$B94)/($A$2-$C94),=E94-($A$2*E94-2*$A94*PI()-$C94*(E94-$A94)-$B94)/($A$2-$C94),=F94-($A$2*F94-2*$A94*PI()-$C94*(F94-$A94)-$B94)/($A$2-$C94),=A94,=J94-H94,=G94
91,1.59881510413406,=(B96-B94)/2,=G94+1,=D95-($A$2*D95-2*$A95*PI()-$C95*(D95-$A95)-$B95)/($A$2-$C95),=E95-($A$2*E95-2*$A95*PI()-$C95*(E95-$A95)-$B95)/($A$2-$C95),=F95-($A$2*F95-2*$A95*PI()-$C95*(F95-$A95)-$B95)/($A$2-$C95),=A95,=J95-H95,=G95
92,1.61600369319542,=(B97-B95)/2,=G95+1,=D96-($A$2*D96-2*$A96*PI()-$C96*(D96-$A96)-$B96)/($A$2-$C96),=E96-($A$2*E96-2*$A96*PI()-$C96*(E96-$A96)-$B96)/($A$2-$C96),=F96-($A$2*F96-2*$A96*PI()-$C96*(F96-$A96)-$B96)/($A$2-$C96),=A96,=J96-H96,=G96
93,1.6331824235903,=(B98-B96)/2,=G96+1,=D97-($A$2*D97-2*$A97*PI()-$C97*(D97-$A97)-$B97)/($A$2-$C97),=E97-($A$2*E97-2*$A97*PI()-$C97*(E97-$A97)-$B97)/($A$2-$C97),=F97-($A$2*F97-2*$A97*PI()-$C97*(F97-$A97)-$B97)/($A$2-$C97),=A97,=J97-H97,=G97
94,1.65035131290146,=(B99-B97)/2,=G97+1,=D98-($A$2*D98-2*$A98*PI()-$C98*(D98-$A98)-$B98)/($A$2-$C98),=E98-($A$2*E98-2*$A98*PI()-$C98*(E98-$A98)-$B98)/($A$2-$C98),=F98-($A$2*F98-2*$A98*PI()-$C98*(F98-$A98)-$B98)/($A$2-$C98),=A98,=J98-H98,=G98
95,1.66751038157119,=(B100-B98)/2,=G98+1,=D99-($A$2*D99-2*$A99*PI()-$C99*(D99-$A99)-$B99)/($A$2-$C99),=E99-($A$2*E99-2*$A99*PI()-$C99*(E99-$A99)-$B99)/($A$2-$C99),=F99-($A$2*F99-2*$A99*PI()-$C99*(F99-$A99)-$B99)/($A$2-$C99),=A99,=J99-H99,=G99
96,1.68465965288294,=(B101-B99)/2,=G99+1,=D100-($A$2*D100-2*$A100*PI()-$C100*(D100-$A100)-$B100)/($A$2-$C100),=E100-($A$2*E100-2*$A100*PI()-$C100*(E100-$A100)-$B100)/($A$2-$C100),=F100-($A$2*F100-2*$A100*PI()-$C100*(F100-$A100)-$B100)/($A$2-$C100),=A100,=J100-H100,=G100
97,1.70179915294234,=(B102-B100)/2,=G100+1,=D101-($A$2*D101-2*$A101*PI()-$C101*(D101-$A101)-$B101)/($A$2-$C101),=E101-($A$2*E101-2*$A101*PI()-$C101*(E101-$A101)-$B101)/($A$2-$C101),=F101-($A$2*F101-2*$A101*PI()-$C101*(F101-$A101)-$B101)/($A$2-$C101),=A101,=J101-H101,=G101
98,1.71892891065746,=(B103-B101)/2,=G101+1,=D102-($A$2*D102-2*$A102*PI()-$C102*(D102-$A102)-$B102)/($A$2-$C102),=E102-($A$2*E102-2*$A102*PI()-$C102*(E102-$A102)-$B102)/($A$2-$C102),=F102-($A$2*F102-2*$A102*PI()-$C102*(F102-$A102)-$B102)/($A$2-$C102),=A102,=J102-H102,=G102
99,1.73604895771841,=(B104-B102)/2,=G102+1,=D103-($A$2*D103-2*$A103*PI()-$C103*(D103-$A103)-$B103)/($A$2-$C103),=E103-($A$2*E103-2*$A103*PI()-$C103*(E103-$A103)-$B103)/($A$2-$C103),=F103-($A$2*F103-2*$A103*PI()-$C103*(F103-$A103)-$B103)/($A$2-$C103),=A103,=J103-H103,=G103
100,1.75315932857624,=(B105-B103)/2,=G103+1,=D104-($A$2*D104-2*$A104*PI()-$C104*(D104-$A104)-$B104)/($A$2-$C104),=E104-($A$2*E104-2*$A104*PI()-$C104*(E104-$A104)-$B104)/($A$2-$C104),=F104-($A$2*F104-2*$A104*PI()-$C104*(F104-$A104)-$B104)/($A$2-$C104),=A104,=J104-H104,=G104
101,1.77026006042127,=(B106-B104)/2,=G104+1,=D105-($A$2*D105-2*$A105*PI()-$C105*(D105-$A105)-$B105)/($A$2-$C105),=E105-($A$2*E105-2*$A105*PI()-$C105*(E105-$A105)-$B105)/($A$2-$C105),=F105-($A$2*F105-2*$A105*PI()-$C105*(F105-$A105)-$B105)/($A$2-$C105),=A105,=J105-H105,=G105
102,1.78735119316073,=(B107-B105)/2,=G105+1,=D106-($A$2*D106-2*$A106*PI()-$C106*(D106-$A106)-$B106)/($A$2-$C106),=E106-($A$2*E106-2*$A106*PI()-$C106*(E106-$A106)-$B106)/($A$2-$C106),=F106-($A$2*F106-2*$A106*PI()-$C106*(F106-$A106)-$B106)/($A$2-$C106),=A106,=J106-H106,=G106
103,1.80443276939582,=(B108-B106)/2,=G106+1,=D107-($A$2*D107-2*$A107*PI()-$C107*(D107-$A107)-$B107)/($A$2-$C107),=E107-($A$2*E107-2*$A107*PI()-$C107*(E107-$A107)-$B107)/($A$2-$C107),=F107-($A$2*F107-2*$A107*PI()-$C107*(F107-$A107)-$B107)/($A$2-$C107),=A107,=J107-H107,=G107
104,1.82150483439818,=(B109-B107)/2,=G107+1,=D108-($A$2*D108-2*$A108*PI()-$C108*(D108-$A108)-$B108)/($A$2-$C108),=E108-($A$2*E108-2*$A108*PI()-$C108*(E108-$A108)-$B108)/($A$2-$C108),=F108-($A$2*F108-2*$A108*PI()-$C108*(F108-$A108)-$B108)/($A$2-$C108),=A108,=J108-H108,=G108
105,1.83856743608582,=(B110-B108)/2,=G108+1,=D109-($A$2*D109-2*$A109*PI()-$C109*(D109-$A109)-$B109)/($A$2-$C109),=E109-($A$2*E109-2*$A109*PI()-$C109*(E109-$A109)-$B109)/($A$2-$C109),=F109-($A$2*F109-2*$A109*PI()-$C109*(F109-$A109)-$B109)/($A$2-$C109),=A109,=J109-H109,=G109
106,1.85562062499843,=(B111-B109)/2,=G109+1,=D110-($A$2*D110-2*$A110*PI()-$C110*(D110-$A110)-$B110)/($A$2-$C110),=E110-($A$2*E110-2*$A110*PI()-$C110*(E110-$A110)-$B110)/($A$2-$C110),=F110-($A$2*F110-2*$A110*PI()-$C110*(F110-$A110)-$B110)/($A$2-$C110),=A110,=J110-H110,=G110
107,1.87266445427223,=(B112-B110)/2,=G110+1,=D111-($A$2*D111-2*$A111*PI()-$C111*(D111-$A111)-$B111)/($A$2-$C111),=E111-($A$2*E111-2*$A111*PI()-$C111*(E111-$A111)-$B111)/($A$2-$C111),=F111-($A$2*F111-2*$A111*PI()-$C111*(F111-$A111)-$B111)/($A$2-$C111),=A111,=J111-H111,=G111
108,1.88969897961428,=(B113-B111)/2,=G111+1,=D112-($A$2*D112-2*$A112*PI()-$C112*(D112-$A112)-$B112)/($A$2-$C112),=E112-($A$2*E112-2*$A112*PI()-$C112*(E112-$A112)-$B112)/($A$2-$C112),=F112-($A$2*F112-2*$A112*PI()-$C112*(F112-$A112)-$B112)/($A$2-$C112),=A112,=J112-H112,=G112
109,1.90672425927628,=(B114-B112)/2,=G112+1,=D113-($A$2*D113-2*$A113*PI()-$C113*(D113-$A113)-$B113)/($A$2-$C113),=E113-($A$2*E113-2*$A113*PI()-$C113*(E113-$A113)-$B113)/($A$2-$C113),=F113-($A$2*F113-2*$A113*PI()-$C113*(F113-$A113)-$B113)/($A$2-$C113),=A113,=J113-H113,=G113
110,1.9237403540279,=(B115-B113)/2,=G113+1,=D114-($A$2*D114-2*$A114*PI()-$C114*(D114-$A114)-$B114)/($A$2-$C114),=E114-($A$2*E114-2*$A114*PI()-$C114*(E114-$A114)-$B114)/($A$2-$C114),=F114-($A$2*F114-2*$A114*PI()-$C114*(F114-$A114)-$B114)/($A$2-$C114),=A114,=J114-H114,=G114
111,1.94074732712968,=(B116-B114)/2,=G114+1,=D115-($A$2*D115-2*$A115*PI()-$C115*(D115-$A115)-$B115)/($A$2-$C115),=E115-($A$2*E115-2*$A115*PI()-$C115*(E115-$A115)-$B115)/($A$2-$C115),=F115-($A$2*F115-2*$A115*PI()-$C115*(F115-$A115)-$B115)/($A$2-$C115),=A115,=J115-H115,=G115
112,1.95774524430539,=(B117-B115)/2,=G115+1,=D116-($A$2*D116-2*$A116*PI()-$C116*(D116-$A116)-$B116)/($A$2-$C116),=E116-($A$2*E116-2*$A116*PI()-$C116*(E116-$A116)-$B116)/($A$2-$C116),=F116-($A$2*F116-2*$A116*PI()-$C116*(F116-$A116)-$B116)/($A$2-$C116),=A116,=J116-H116,=G116
113,1.9747341737141,=(B118-B116)/2,=G116+1,=D117-($A$2*D117-2*$A117*PI()-$C117*(D117-$A117)-$B117)/($A$2-$C117),=E117-($A$2*E117-2*$A117*PI()-$C117*(E117-$A117)-$B117)/($A$2-$C117),=F117-($A$2*F117-2*$A117*PI()-$C117*(F117-$A117)-$B117)/($A$2-$C117),=A117,=J117-H117,=G117
114,1.9917141859217,=(B119-B117)/2,=G117+1,=D118-($A$2*D118-2*$A118*PI()-$C118*(D118-$A118)-$B118)/($A$2-$C118),=E118-($A$2*E118-2*$A118*PI()-$C118*(E118-$A118)-$B118)/($A$2-$C118),=F118-($A$2*F118-2*$A118*PI()-$C118*(F118-$A118)-$B118)/($A$2-$C118),=A118,=J118-H118,=G118
115,2.00868535387213,=(B120-B118)/2,=G118+1,=D119-($A$2*D119-2*$A119*PI()-$C119*(D119-$A119)-$B119)/($A$2-$C119),=E119-($A$2*E119-2*$A119*PI()-$C119*(E119-$A119)-$B119)/($A$2-$C119),=F119-($A$2*F119-2*$A119*PI()-$C119*(F119-$A119)-$B119)/($A$2-$C119),=A119,=J119-H119,=G119
116,2.02564775285818,=(B121-B119)/2,=G119+1,=D120-($A$2*D120-2*$A120*PI()-$C120*(D120-$A120)-$B120)/($A$2-$C120),=E120-($A$2*E120-2*$A120*PI()-$C120*(E120-$A120)-$B120)/($A$2-$C120),=F120-($A$2*F120-2*$A120*PI()-$C120*(F120-$A120)-$B120)/($A$2-$C120),=A120,=J120-H120,=G120
117,2.04260146049189,=(B122-B120)/2,=G120+1,=D121-($A$2*D121-2*$A121*PI()-$C121*(D121-$A121)-$B121)/($A$2-$C121),=E121-($A$2*E121-2*$A121*PI()-$C121*(E121-$A121)-$B121)/($A$2-$C121),=F121-($A$2*F121-2*$A121*PI()-$C121*(F121-$A121)-$B121)/($A$2-$C121),=A121,=J121-H121,=G121
118,2.0595465566747,=(B123-B121)/2,=G121+1,=D122-($A$2*D122-2*$A122*PI()-$C122*(D122-$A122)-$B122)/($A$2-$C122),=E122-($A$2*E122-2*$A122*PI()-$C122*(E122-$A122)-$B122)/($A$2-$C122),=F122-($A$2*F122-2*$A122*PI()-$C122*(F122-$A122)-$B122)/($A$2-$C122),=A122,=J122-H122,=G122
119,2.07648312356717,=(B124-B122)/2,=G122+1,=D123-($A$2*D123-2*$A123*PI()-$C123*(D123-$A123)-$B123)/($A$2-$C123),=E123-($A$2*E123-2*$A123*PI()-$C123*(E123-$A123)-$B123)/($A$2-$C123),=F123-($A$2*F123-2*$A123*PI()-$C123*(F123-$A123)-$B123)/($A$2-$C123),=A123,=J123-H123,=G123
120,2.09341124555841,=(B125-B123)/2,=G123+1,=D124-($A$2*D124-2*$A124*PI()-$C124*(D124-$A124)-$B124)/($A$2-$C124),=E124-($A$2*E124-2*$A124*PI()-$C124*(E124-$A124)-$B124)/($A$2-$C124),=F124-($A$2*F124-2*$A124*PI()-$C124*(F124-$A124)-$B124)/($A$2-$C124),=A124,=J124-H124,=G124
121,2.11033100923524,=(B126-B124)/2,=G124+1,=D125-($A$2*D125-2*$A125*PI()-$C125*(D125-$A125)-$B125)/($A$2-$C125),=E125-($A$2*E125-2*$A125*PI()-$C125*(E125-$A125)-$B125)/($A$2-$C125),=F125-($A$2*F125-2*$A125*PI()-$C125*(F125-$A125)-$B125)/($A$2-$C125),=A125,=J125-H125,=G125
122,2.12724250335098,=(B127-B125)/2,=G125+1,=D126-($A$2*D126-2*$A126*PI()-$C126*(D126-$A126)-$B126)/($A$2-$C126),=E126-($A$2*E126-2*$A126*PI()-$C126*(E126-$A126)-$B126)/($A$2-$C126),=F126-($A$2*F126-2*$A126*PI()-$C126*(F126-$A126)-$B126)/($A$2-$C126),=A126,=J126-H126,=G126
123,2.14414581879407,=(B128-B126)/2,=G126+1,=D127-($A$2*D127-2*$A127*PI()-$C127*(D127-$A127)-$B127)/($A$2-$C127),=E127-($A$2*E127-2*$A127*PI()-$C127*(E127-$A127)-$B127)/($A$2-$C127),=F127-($A$2*F127-2*$A127*PI()-$C127*(F127-$A127)-$B127)/($A$2-$C127),=A127,=J127-H127,=G127
124,2.16104104855628,=(B129-B127)/2,=G127+1,=D128-($A$2*D128-2*$A128*PI()-$C128*(D128-$A128)-$B128)/($A$2-$C128),=E128-($A$2*E128-2*$A128*PI()-$C128*(E128-$A128)-$B128)/($A$2-$C128),=F128-($A$2*F128-2*$A128*PI()-$C128*(F128-$A128)-$B128)/($A$2-$C128),=A128,=J128-H128,=G128
125,2.17792828770083,=(B130-B128)/2,=G128+1,=D129-($A$2*D129-2*$A129*PI()-$C129*(D129-$A129)-$B129)/($A$2-$C129),=E129-($A$2*E129-2*$A129*PI()-$C129*(E129-$A129)-$B129)/($A$2-$C129),=F129-($A$2*F129-2*$A129*PI()-$C129*(F129-$A129)-$B129)/($A$2-$C129),=A129,=J129-H129,=G129
126,2.19480763333012,=(B131-B129)/2,=G129+1,=D130-($A$2*D130-2*$A130*PI()-$C130*(D130-$A130)-$B130)/($A$2-$C130),=E130-($A$2*E130-2*$A130*PI()-$C130*(E130-$A130)-$B130)/($A$2-$C130),=F130-($A$2*F130-2*$A130*PI()-$C130*(F130-$A130)-$B130)/($A$2-$C130),=A130,=J130-H130,=G130
127,2.21167918455335,=(B132-B130)/2,=G130+1,=D131-($A$2*D131-2*$A131*PI()-$C131*(D131-$A131)-$B131)/($A$2-$C131),=E131-($A$2*E131-2*$A131*PI()-$C131*(E131-$A131)-$B131)/($A$2-$C131),=F131-($A$2*F131-2*$A131*PI()-$C131*(F131-$A131)-$B131)/($A$2-$C131),=A131,=J131-H131,=G131
128,2.22854304245384,=(B133-B131)/2,=G131+1,=D132-($A$2*D132-2*$A132*PI()-$C132*(D132-$A132)-$B132)/($A$2-$C132),=E132-($A$2*E132-2*$A132*PI()-$C132*(E132-$A132)-$B132)/($A$2-$C132),=F132-($A$2*F132-2*$A132*PI()-$C132*(F132-$A132)-$B132)/($A$2-$C132),=A132,=J132-H132,=G132
