ω,,,,,,,,,
306,5.23518622197061,=(B311-B309)/2,=G309+1,=D310-($A$2*D310-2*$A310*PI()-$C310*(D310-$A310)-$B310)/($A$2-$C310),=E310-($A$2*E310-2*$A310*PI()-$C310*(E310-$A310)-$B310)/($A$2-$C310),=F310-($A$2*F310-2*$A310*PI()-$C310*(F310-$A310)-$B310)/($A$2-$C310),=A310,=J310-H310,=G310
307,5.25268839927853,=(B312-B310)/2,=G310+1,=D311-($A$2*D311-2*$A311*PI()-$C311*(D311-$A311)-$B311)/($A$2-$C311),=E311-($A$2*E311-2*$A311*PI()-$C311*(E311-$A311)-$B311)/($A$2-$C311),=F311-($A$2*F311-2*$A311*PI()-$C311*(F311-$A311)-$B311)/($A$2-$C311),=A311,=J311-H311,=G311
308,5.27019927919782,=(B313-B311)/2,=G311+1,=D312-($A$2*D312-2*$A312*PI()-$C312*(D312-$A312)-$B312)/($A$2-$C312),=E312-($A$2*E312-2*$A312*PI()-$C312*(E312-$A312)-$B312)/($A$2-$C312),=F312-($A$2*F312-2*$A312*PI()-$C312*(F312-$A312)-$B312)/($A$2-$C312),=A312,=J312-H312,=G312
309,5.28771877537811,=(B314-B312)/2,=G312+1,=D313-($A$2*D313-2*$A313*PI()-$C313*(D313-$A313)-$B313)/($A$2-$C313),=E313-($A$2*E313-2*$A313*PI()-$C313*(E313-$A313)-$B313)/($A$2-$C313),=F313-($A$2*F313-2*$A313*PI()-$C313*(F313-$A313)-$B313)/($A$2-$C313),=A313,=J313-H313,=G313
310,5.30524679857729,=(B315-B313)/2,=G313+1,=D314-($A$2*D314-2*$A314*PI()-$C314*(D314-$A314)-$B314)/($A$2-$C314),=E314-($A$2*E314-2*$A314*PI()-$C314*(E314-$A314)-$B314)/($A$2-$C314),=F314-($A$2*F314-2*$A314*PI()-$C314*(F314-$A314)-$B314)/($A$2-$C314),=A314,=J314-H314,=G314
311,5.32278325668161,=(B316-B314)/2,=G314+1,=D315-($A$2*D315-2*$A315*PI()-$C315*(D315-$A315)-$B315)/($A$2-$C315),=E315-($A$2*E315-2*$A315*PI()-$C315*(E315-$A315)-$B315)/($A$2-$C315),=F315-($A$2*F315-2*$A315*PI()-$C315*(F315-$A315)-$B315)/($A$2-$C315),=A315,=J315-H315,=G315
312,5.34032805472696,=(B317-B315)/2,=G315+1,=D316-($A$2*D316-2*$A316*PI()-$C316*(D316-$A316)-$B316)/($A$2-$C316),=E316-($A$2*E316-2*$A316*PI()-$C316*(E316-$A316)-$B316)/($A$2-$C316),=F316-($A$2*F316-2*$A316*PI()-$C316*(F316-$A316)-$B316)/($A$2-$C316),=A316,=J316-H316,=G316
313,5.35788109492142,=(B318-B316)/2,=G316+1,=D317-($A$2*D317-2*$A317*PI()-$C317*(D317-$A317)-$B317)/($A$2-$C317),=E317-($A$2*E317-2*$A317*PI()-$C317*(E317-$A317)-$B317)/($A$2-$C317),=F317-($A$2*F317-2*$A317*PI()-$C317*(F317-$A317)-$B317)/($A$2-$C317),=A317,=J317-H317,=G317
314,5.37544227666911,=(B319-B317)/2,=G317+1,=D318-($A$2*D318-2*$A318*PI()-$C318*(D318-$A318)-$B318)/($A$2-$C318),=E318-($A$2*E318-2*$A318*PI()-$C318*(E318-$A318)-$B318)/($A$2-$C318),=F318-($A$2*F318-2*$A318*PI()-$C318*(F318-$A318)-$B318)/($A$2-$C318),=A318,=J318-H318,=G318
315,5.39301149659532,=(B320-B318)/2,=G318+1,=D319-($A$2*D319-2*$A319*PI()-$C319*(D319-$A319)-$B319)/($A$2-$C319),=E319-($A$2*E319-2*$A319*PI()-$C319*(E319-$A319)-$B319)/($A$2-$C319),=F319-($A$2*F319-2*$A319*PI()-$C319*(F319-$A319)-$B319)/($A$2-$C319),=A319,=J319-H319,=G319
316,5.41058864857288,=(B321-B319)/2,=G319+1,=D320-($A$2*D320-2*$A320*PI()-$C320*(D320-$A320)-$B320)/($A$2-$C320),=E320-($A$2*E320-2*$A320*PI()-$C320*(E320-$A320)-$B320)/($A$2-$C320),=F320-($A$2*F320-2*$A320*PI()-$C320*(F320-$A320)-$B320)/($A$2-$C320),=A320,=J320-H320,=G320
317,5.42817362374988,=(B322-B320)/2,=G320+1,=D321-($A$2*D321-2*$A321*PI()-$C321*(D321-$A321)-$B321)/($A$2-$C321),=E321-($A$2*E321-2*$A321*PI()-$C321*(E321-$A321)-$B321)/($A$2-$C321),=F321-($A$2*F321-2*$A321*PI()-$C321*(F321-$A321)-$B321)/($A$2-$C321),=A321,=J321-H321,=G321
318,5.44576631057855,=(B323-B321)/2,=G321+1,=D322-($A$2*D322-2*$A322*PI()-$C322*(D322-$A322)-$B322)/($A$2-$C322),=E322-($A$2*E322-2*$A322*PI()-$C322*(E322-$A322)-$B322)/($A$2-$C322),=F322-($A$2*F322-2*$A322*PI()-$C322*(F322-$A322)-$B322)/($A$2-$C322),=A322,=J322-H322,=G322
319,5.46336659484553,=(B324-B322)/2,=G322+1,=D323-($A$2*D323-2*$A323*PI()-$C323*(D323-$A323)-$B323)/($A$2-$C323),=E323-($A$2*E323-2*$A323*PI()-$C323*(E323-$A323)-$B323)/($A$2-$C323),=F323-($A$2*F323-2*$A323*PI()-$C323*(F323-$A323)-$B323)/($A$2-$C323),=A323,=J323-H323,=G323
320,5.48097435970335,=(B325-B323)/2,=G323+1,=D324-($A$2*D324-2*$A324*PI()-$C324*(D324-$A324)-$B324)/($A$2-$C324),=E324-($A$2*E324-2*$A324*PI()-$C324*(E324-$A324)-$B324)/($A$2-$C324),=F324-($A$2*F324-2*$A324*PI()-$C324*(F324-$A324)-$B324)/($A$2-$C324),=A324,=J324-H324,=G324
321,5.49858948570319,=(B326-B324)/2,=G324+1,=D325-($A$2*D325-2*$A325*PI()-$C325*(D325-$A325)-$B325)/($A$2-$C325),=E325-($A$2*E325-2*$A325*PI()-$C325*(E325-$A325)-$B325)/($A$2-$C325),=F325-($A$2*F325-2*$A325*PI()-$C325*(F325-$A325)-$B325)/($A$2-$C325),=A325,=J325-H325,=G325
322,5.51621185082885,=(B327-B325)/2,=G325+1,=D326-($A$2*D326-2*$A326*PI()-$C326*(D326-$A326)-$B326)/($A$2-$C326),=E326-($A$2*E326-2*$A326*PI()-$C326*(E326-$A326)-$B326)/($A$2-$C326),=F326-($A$2*F326-2*$A326*PI()-$C326*(F326-$A326)-$B326)/($A$2-$C326),=A326,=J326-H326,=G326
323,5.5338413305321,=(B328-B326)/2,=G326+1,=D327-($A$2*D327-2*$A327*PI()-$C327*(D327-$A327)-$B327)/($A$2-$C327),=E327-($A$2*E327-2*$A327*PI()-$C327*(E327-$A327)-$B327)/($A$2-$C327),=F327-($A$2*F327-2*$A327*PI()-$C327*(F327-$A327)-$B327)/($A$2-$C327),=A327,=J327-H327,=G327
324,5.55147779776912,=(B329-B327)/2,=G327+1,=D328-($A$2*D328-2*$A328*PI()-$C328*(D328-$A328)-$B328)/($A$2-$C328),=E328-($A$2*E328-2*$A328*PI()-$C328*(E328-$A328)-$B328)/($A$2-$C328),=F328-($A$2*F328-2*$A328*PI()-$C328*(F328-$A328)-$B328)/($A$2-$C328),=A328,=J328-H328,=G328
325,5.5691211230383,=(B330-B328)/2,=G328+1,=D329-($A$2*D329-2*$A329*PI()-$C329*(D329-$A329)-$B329)/($A$2-$C329),=E329-($A$2*E329-2*$A329*PI()-$C329*(E329-$A329)-$B329)/($A$2-$C329),=F329-($A$2*F329-2*$A329*PI()-$C329*(F329-$A329)-$B329)/($A$2-$C329),=A329,=J329-H329,=G329
326,5.58677117441921,=(B331-B329)/2,=G329+1,=D330-($A$2*D330-2*$A330*PI()-$C330*(D330-$A330)-$B330)/($A$2-$C330),=E330-($A$2*E330-2*$A330*PI()-$C330*(E330-$A330)-$B330)/($A$2-$C330),=F330-($A$2*F330-2*$A330*PI()-$C330*(F330-$A330)-$B330)/($A$2-$C330),=A330,=J330-H330,=G330
327,5.60442781761279,=(B332-B330)/2,=G330+1,=D331-($A$2*D331-2*$A331*PI()-$C331*(D331-$A331)-$B331)/($A$2-$C331),=E331-($A$2*E331-2*$A331*PI()-$C331*(E331-$A331)-$B331)/($A$2-$C331),=F331-($A$2*F331-2*$A331*PI()-$C331*(F331-$A331)-$B331)/($A$2-$C331),=A331,=J331-H331,=G331
328,5.62209091598279,=(B333-B331)/2,=G331+1,=D332-($A$2*D332-2*$A332*PI()-$C332*(D332-$A332)-$B332)/($A$2-$C332),=E332-($A$2*E332-2*$A332*PI()-$C332*(E332-$A332)-$B332)/($A$2-$C332),=F332-($A$2*F332-2*$A332*PI()-$C332*(F332-$A332)-$B332)/($A$2-$C332),=A332,=J332-H332,=G332
329,5.63976033059833,=(B334-B332)/2,=G332+1,=D333-($A$2*D333-2*$A333*PI()-$C333*(D333-$A333)-$B333)/($A$2-$C333),=E333-($A$2*E333-2*$A333*PI()-$C333*(E333-$A333)-$B333)/($A$2-$C333),=F333-($A$2*F333-2*$A333*PI()-$C333*(F333-$A333)-$B333)/($A$2-$C333),=A333,=J333-H333,=G333
330,5.65743592027771,=(B335-B333)/2,=G333+1,=D334-($A$2*D334-2*$A334*PI()-$C334*(D334-$A334)-$B334)/($A$2-$C334),=E334-($A$2*E334-2*$A334*PI()-$C334*(E334-$A334)-$B334)/($A$2-$C334),=F334-($A$2*F334-2*$A334*PI()-$C334*(F334-$A334)-$B334)/($A$2-$C334),=A334,=J334-H334,=G334
331,5.67511754163336,=(B336-B334)/2,=G334+1,=D335-($A$2*D335-2*$A335*PI()-$C335*(D335-$A335)-$B335)/($A$2-$C335),=E335-($A$2*E335-2*$A335*PI()-$C335*(E335-$A335)-$B335)/($A$2-$C335),=F335-($A$2*F335-2*$A335*PI()-$C335*(F335-$A335)-$B335)/($A$2-$C335),=A335,=J335-H335,=G335
332,5.69280504911791,=(B337-B335)/2,=G335+1,=D336-($A$2*D336-2*$A336*PI()-$C336*(D336-$A336)-$B336)/($A$2-$C336),=E336-($A$2*E336-2*$A336*PI()-$C336*(E336-$A336)-$B336)/($A$2-$C336),=F336-($A$2*F336-2*$A336*PI()-$C336*(F336-$A336)-$B336)/($A$2-$C336),=A336,=J336-H336,=G336
333,5.71049829507144,=(B338-B336)/2,=G336+1,=D337-($A$2*D337-2*$A337*PI()-$C337*(D337-$A337)-$B337)/($A$2-$C337),=E337-($A$2*E337-2*$A337*PI()-$C337*(E337-$A337)-$B337)/($A$2-$C337),=F337-($A$2*F337-2*$A337*PI()-$C337*(F337-$A337)-$B337)/($A$2-$C337),=A337,=J337-H337,=G337
334,5.72819712976984,=(B339-B337)/2,=G337+1,=D338-($A$2*D338-2*$A338*PI()-$C338*(D338-$A338)-$B338)/($A$2-$C338),=E338-($A$2*E338-2*$A338*PI()-$C338*(E338-$A338)-$B338)/($A$2-$C338),=F338-($A$2*F338-2*$A338*PI()-$C338*(F338-$A338)-$B338)/($A$2-$C338),=A338,=J338-H338,=G338
335,5.74590140147421,=(B340-B338)/2,=G338+1,=D339-($A$2*D339-2*$A339*PI()-$C339*(D339-$A339)-$B339)/($A$2-$C339),=E339-($A$2*E339-2*$A339*PI()-$C339*(E339-$A339)-$B339)/($A$2-$C339),=F339-($A$2*F339-2*$A339*PI()-$C339*(F339-$A339)-$B339)/($A$2-$C339),=A339,=J339-H339,=G339
336,5.76361095648139,=(B341-B339)/2,=G339+1,=D340-($A$2*D340-2*$A340*PI()-$C340*(D340-$A340)-$B340)/($A$2-$C340),=E340-($A$2*E340-2*$A340*PI()-$C340*(E340-$A340)-$B340)/($A$2-$C340),=F340-($A$2*F340-2*$A340*PI()-$C340*(F340-$A340)-$B340)/($A$2-$C340),=A340,=J340-H340,=G340
337,5.78132563917555,=(B342-B340)/2,=G340+1,=D341-($A$2*D341-2*$A341*PI()-$C341*(D341-$A341)-$B341)/($A$2-$C341),=E341-($A$2*E341-2*$A341*PI()-$C341*(E341-$A341)-$B341)/($A$2-$C341),=F341-($A$2*F341-2*$A341*PI()-$C341*(F341-$A341)-$B341)/($A$2-$C341),=A341,=J341-H341,=G341
338,5.79904529208077,=(B343-B341)/2,=G341+1,=D342-($A$2*D342-2*$A342*PI()-$C342*(D342-$A342)-$B342)/($A$2-$C342),=E342-($A$2*E342-2*$A342*PI()-$C342*(E342-$A342)-$B342)/($A$2-$C342),=F342-($A$2*F342-2*$A342*PI()-$C342*(F342-$A342)-$B342)/($A$2-$C342),=A342,=J342-H342,=G342
339,5.81676975591465,=(B344-B342)/2,=G342+1,=D343-($A$2*D343-2*$A343*PI()-$C343*(D343-$A343)-$B343)/($A$2-$C343),=E343-($A$2*E343-2*$A343*PI()-$C343*(E343-$A343)-$B343)/($A$2-$C343),=F343-($A$2*F343-2*$A343*PI()-$C343*(F343-$A343)-$B343)/($A$2-$C343),=A343,=J343-H343,=G343
340,5.83449886964292,=(B345-B343)/2,=G343+1,=D344-($A$2*D344-2*$A344*PI()-$C344*(D344-$A344)-$B344)/($A$2-$C344),=E344-($A$2*E344-2*$A344*PI()-$C344*(E344-$A344)-$B344)/($A$2-$C344),=F344-($A$2*F344-2*$A344*PI()-$C344*(F344-$A344)-$B344)/($A$2-$C344),=A344,=J344-H344,=G344
341,5.85223247053497,=(B346-B344)/2,=G344+1,=D345-($A$2*D345-2*$A345*PI()-$C345*(D345-$A345)-$B345)/($A$2-$C345),=E345-($A$2*E345-2*$A345*PI()-$C345*(E345-$A345)-$B345)/($A$2-$C345),=F345-($A$2*F345-2*$A345*PI()-$C345*(F345-$A345)-$B345)/($A$2-$C345),=A345,=J345-H345,=G345
342,5.86997039422036,=(B347-B345)/2,=G345+1,=D346-($A$2*D346-2*$A346*PI()-$C346*(D346-$A346)-$B346)/($A$2-$C346),=E346-($A$2*E346-2*$A346*PI()-$C346*(E346-$A346)-$B346)/($A$2-$C346),=F346-($A$2*F346-2*$A346*PI()-$C346*(F346-$A346)-$B346)/($A$2-$C346),=A346,=J346-H346,=G346
343,5.88771247474621,=(B348-B346)/2,=G346+1,=D347-($A$2*D347-2*$A347*PI()-$C347*(D347-$A347)-$B347)/($A$2-$C347),=E347-($A$2*E347-2*$A347*PI()-$C347*(E347-$A347)-$B347)/($A$2-$C347),=F347-($A$2*F347-2*$A347*PI()-$C347*(F347-$A347)-$B347)/($A$2-$C347),=A347,=J347-H347,=G347
344,5.90545854463545,=(B349-B347)/2,=G347+1,=D348-($A$2*D348-2*$A348*PI()-$C348*(D348-$A348)-$B348)/($A$2-$C348),=E348-($A$2*E348-2*$A348*PI()-$C348*(E348-$A348)-$B348)/($A$2-$C348),=F348-($A$2*F348-2*$A348*PI()-$C348*(F348-$A348)-$B348)/($A$2-$C348),=A348,=J348-H348,=G348
345,5.92320843494599,=(B350-B348)/2,=G348+1,=D349-($A$2*D349-2*$A349*PI()-$C349*(D349-$A349)-$B349)/($A$2-$C349),=E349-($A$2*E349-2*$A349*PI()-$C349*(E349-$A349)-$B349)/($A$2-$C349),=F349-($A$2*F349-2*$A349*PI()-$C349*(F349-$A349)-$B349)/($A$2-$C349),=A349,=J349-H349,=G349
346,5.94096197533061,=(B351-B349)/2,=G349+1,=D350-($A$2*D350-2*$A350*PI()-$C350*(D350-$A350)-$B350)/($A$2-$C350),=E350-($A$2*E350-2*$A350*PI()-$C350*(E350-$A350)-$B350)/($A$2-$C350),=F350-($A$2*F350-2*$A350*PI()-$C350*(F350-$A350)-$B350)/($A$2-$C350),=A350,=J350-H350,=G350
347,5.95871899409772,=(B352-B350)/2,=G350+1,=D351-($A$2*D351-2*$A351*PI()-$C351*(D351-$A351)-$B351)/($A$2-$C351),=E351-($A$2*E351-2*$A351*PI()-$C351*(E351-$A351)-$B351)/($A$2-$C351),=F351-($A$2*F351-2*$A351*PI()-$C351*(F351-$A351)-$B351)/($A$2-$C351),=A351,=J351-H351,=G351
348,5.97647931827286,=(B353-B351)/2,=G351+1,=D352-($A$2*D352-2*$A352*PI()-$C352*(D352-$A352)-$B352)/($A$2-$C352),=E352-($A$2*E352-2*$A352*PI()-$C352*(E352-$A352)-$B352)/($A$2-$C352),=F352-($A$2*F352-2*$A352*PI()-$C352*(F352-$A352)-$B352)/($A$2-$C352),=A352,=J352-H352,=G352
349,5.99424277366087,=(B354-B352)/2,=G352+1,=D353-($A$2*D353-2*$A353*PI()-$C353*(D353-$A353)-$B353)/($A$2-$C353),=E353-($A$2*E353-2*$A353*PI()-$C353*(E353-$A353)-$B353)/($A$2-$C353),=F353-($A$2*F353-2*$A353*PI()-$C353*(F353-$A353)-$B353)/($A$2-$C353),=A353,=J353-H353,=G353
350,6.01200918490884,=(B355-B353)/2,=G353+1,=D354-($A$2*D354-2*$A354*PI()-$C354*(D354-$A354)-$B354)/($A$2-$C354),=E354-($A$2*E354-2*$A354*PI()-$C354*(E354-$A354)-$B354)/($A$2-$C354),=F354-($A$2*F354-2*$A354*PI()-$C354*(F354-$A354)-$B354)/($A$2-$C354),=A354,=J354-H354,=G354
351,6.02977837556968,=(B356-B354)/2,=G354+1,=D355-($A$2*D355-2*$A355*PI()-$C355*(D355-$A355)-$B355)/($A$2-$C355),=E355-($A$2*E355-2*$A355*PI()-$C355*(E355-$A355)-$B355)/($A$2-$C355),=F355-($A$2*F355-2*$A355*PI()-$C355*(F355-$A355)-$B355)/($A$2-$C355),=A355,=J355-H355,=G355
352,6.04755016816628,=(B357-B355)/2,=G355+1,=D356-($A$2*D356-2*$A356*PI()-$C356*(D356-$A356)-$B356)/($A$2-$C356),=E356-($A$2*E356-2*$A356*PI()-$C356*(E356-$A356)-$B356)/($A$2-$C356),=F356-($A$2*F356-2*$A356*PI()-$C356*(F356-$A356)-$B356)/($A$2-$C356),=A356,=J356-H356,=G356
353,6.06532438425629,=(B358-B356)/2,=G356+1,=D357-($A$2*D357-2*$A357*PI()-$C357*(D357-$A357)-$B357)/($A$2-$C357),=E357-($A$2*E357-2*$A357*PI()-$C357*(E357-$A357)-$B357)/($A$2-$C357),=F357-($A$2*F357-2*$A357*PI()-$C357*(F357-$A357)-$B357)/($A$2-$C357),=A357,=J357-H357,=G357
354,6.08310084449751,=(B359-B357)/2,=G357+1,=D358-($A$2*D358-2*$A358*PI()-$C358*(D358-$A358)-$B358)/($A$2-$C358),=E358-($A$2*E358-2*$A358*PI()-$C358*(E358-$A358)-$B358)/($A$2-$C358),=F358-($A$2*F358-2*$A358*PI()-$C358*(F358-$A358)-$B358)/($A$2-$C358),=A358,=J358-H358,=G358
355,6.10087936871366,=(B360-B358)/2,=G358+1,=D359-($A$2*D359-2*$A359*PI()-$C359*(D359-$A359)-$B359)/($A$2-$C359),=E359-($A$2*E359-2*$A359*PI()-$C359*(E359-$A359)-$B359)/($A$2-$C359),=F359-($A$2*F359-2*$A359*PI()-$C359*(F359-$A359)-$B359)/($A$2-$C359),=A359,=J359-H359,=G359
356,6.1186597759608,=(B361-B359)/2,=G359+1,=D360-($A$2*D360-2*$A360*PI()-$C360*(D360-$A360)-$B360)/($A$2-$C360),=E360-($A$2*E360-2*$A360*PI()-$C360*(E360-$A360)-$B360)/($A$2-$C360),=F360-($A$2*F360-2*$A360*PI()-$C360*(F360-$A360)-$B360)/($A$2-$C360),=A360,=J360-H360,=G360
357,6.13644188459403,=(B362-B360)/2,=G360+1,=D361-($A$2*D361-2*$A361*PI()-$C361*(D361-$A361)-$B361)/($A$2-$C361),=E361-($A$2*E361-2*$A361*PI()-$C361*(E361-$A361)-$B361)/($A$2-$C361),=F361-($A$2*F361-2*$A361*PI()-$C361*(F361-$A361)-$B361)/($A$2-$C361),=A361,=J361-H361,=G361
358,6.15422551233472,=(B363-B361)/2,=G361+1,=D362-($A$2*D362-2*$A362*PI()-$C362*(D362-$A362)-$B362)/($A$2-$C362),=E362-($A$2*E362-2*$A362*PI()-$C362*(E362-$A362)-$B362)/($A$2-$C362),=F362-($A$2*F362-2*$A362*PI()-$C362*(F362-$A362)-$B362)/($A$2-$C362),=A362,=J362-H362,=G362
359,6.17201047633806,=(B364-B362)/2,=G362+1,=D363-($A$2*D363-2*$A363*PI()-$C363*(D363-$A363)-$B363)/($A$2-$C363),=E363-($A$2*E363-2*$A363*PI()-$C363*(E363-$A363)-$B363)/($A$2-$C363),=F363-($A$2*F363-2*$A363*PI()-$C363*(F363-$A363)-$B363)/($A$2-$C363),=A363,=J363-H363,=G363
360,6.1897965932609,=(B365-B363)/2,=G363+1,=D364-($A$2*D364-2*$A364*PI()-$C364*(D364-$A364)-$B364)/($A$2-$C364),=E364-($A$2*E364-2*$A364*PI()-$C364*(E364-$A364)-$B364)/($A$2-$C364),=F364-($A$2*F364-2*$A364*PI()-$C364*(F364-$A364)-$B364)/($A$2-$C364),=A364,=J364-H364,=G364
361,6.20758367932995,=(B366-B364)/2,=G364+1,=D365-($A$2*D365-2*$A365*PI()-$C365*(D365-$A365)-$B365)/($A$2-$C365),=E365-($A$2*E365-2*$A365*PI()-$C365*(E365-$A365)-$B365)/($A$2-$C365),=F365-($A$2*F365-2*$A365*PI()-$C365*(F365-$A365)-$B365)/($A$2-$C365),=A365,=J365-H365,=G365
362,6.22537155041022,=(B367-B365)/2,=G365+1,=D366-($A$2*D366-2*$A366*PI()-$C366*(D366-$A366)-$B366)/($A$2-$C366),=E366-($A$2*E366-2*$A366*PI()-$C366*(E366-$A366)-$B366)/($A$2-$C366),=F366-($A$2*F366-2*$A366*PI()-$C366*(F366-$A366)-$B366)/($A$2-$C366),=A366,=J366-H366,=G366
363,6.24316002207359,=(B368-B366)/2,=G366+1,=D367-($A$2*D367-2*$A367*PI()-$C367*(D367-$A367)-$B367)/($A$2-$C367),=E367-($A$2*E367-2*$A367*PI()-$C367*(E367-$A367)-$B367)/($A$2-$C367),=F367-($A$2*F367-2*$A367*PI()-$C367*(F367-$A367)-$B367)/($A$2-$C367),=A367,=J367-H367,=G367
364,6.26094890966766,=(B369-B367)/2,=G367+1,=D368-($A$2*D368-2*$A368*PI()-$C368*(D368-$A368)-$B368)/($A$2-$C368),=E368-($A$2*E368-2*$A368*PI()-$C368*(E368-$A368)-$B368)/($A$2-$C368),=F368-($A$2*F368-2*$A368*PI()-$C368*(F368-$A368)-$B368)/($A$2-$C368),=A368,=J368-H368,=G368
365,6.27873802838466,=C368,=G368+1,=D369-($A$2*D369-2*$A369*PI()-$C369*(D369-$A369)-$B369)/($A$2-$C369),=E369-($A$2*E369-2*$A369*PI()-$C369*(E369-$A369)-$B369)/($A$2-$C369),=F369-($A$2*F369-2*$A369*PI()-$C369*(F369-$A369)-$B369)/($A$2-$C369),=A369,=J369-H369,=G369
366,6.29652719333047,=C369,=G369+1,=D370-($A$2*D370-2*$A370*PI()-$C370*(D370-$A370)-$B370)/($A$2-$C370),=E370-($A$2*E370-2*$A370*PI()-$C370*(E370-$A370)-$B370)/($A$2-$C370),=F370-($A$2*F370-2*$A370*PI()-$C370*(F370-$A370)-$B370)/($A$2-$C370),=A370,=J370-H370,=G370
